CODIGO BIEN,ORDEN DE  COMPRA,PRODUCTO,JARDIN 
8046259,1576-1440-CM19,IMPRESORA EPSON XP-241,SONRISAS DE NIÑOS
8046260,1576-1440-CM19,IMPRESORA EPSON XP-241,LUZ DE ESPERANZA
8046261,1576-1440-CM19,IMPRESORA EPSON XP-241,SONRISAS DE NIÑOS ll
8046262,1576-1440-CM19,IMPRESORA EPSON XP-241,JUGANDO, CANTANDO NOS EDUCAMOS
8046263,1576-1440-CM19,IMPRESORA EPSON XP-241,RELMU RAYEN
8046264,1576-1440-CM19,IMPRESORA EPSON XP-241,TRANQUILBORO 
8046265,1576-1440-CM19,IMPRESORA EPSON XP-241,LOS NIÑOS DEL CERRO LA PERDIZ 
8046266,1576-1440-CM19,IMPRESORA EPSON XP-241,LOS PITUFOS
8046267,1576-1440-CM19,IMPRESORA EPSON XP-241,LOS CARIÑOSITOS
8046268,1576-1440-CM19,IMPRESORA EPSON XP-241,PEUMAHUE
8046269,1576-1440-CM19,IMPRESORA EPSON XP-241,KRALWE PICHI KECHE
8046270,1576-1440-CM19,IMPRESORA EPSON XP-241,WEFACHUNTU PICHICE
8046271,1576-1440-CM19,IMPRESORA EPSON XP-241,PASITO SEGURO
8046272,1576-1440-CM19,IMPRESORA EPSON XP-241,PATA DE GALLINA
8046273,1576-1440-CM19,IMPRESORA EPSON XP-241,LA PERLITA
8046274,1576-1440-CM19,IMPRESORA EPSON XP-241,TRAPA TRAPA ll
8046275,1576-1440-CM19,IMPRESORA EPSON XP-241,KIMCHE
8046276,1576-1441-CM19,IMPRESORA EPSON XP-241,TALCAMAVIDA
8046277,1576-1441-CM19,IMPRESORA EPSON XP-241,LOS PECESITOS
8046278,1576-1441-CM19,IMPRESORA EPSON XP-241,FELIPE CUBILLOS
8046279,1576-1441-CM19,IMPRESORA EPSON XP-241,LAS PUENTES 
8046280,1576-1441-CM19,IMPRESORA EPSON XP-241,RAYITO DE SOL
8046281,1576-1441-CM19,IMPRESORA EPSON XP-241,POCUNO
8046282,1576-1441-CM19,IMPRESORA EPSON XP-241,TRES SAUCES
8046283,1576-1441-CM19,IMPRESORA EPSON XP-241,EL FUERTECITO
8046284,1576-1441-CM19,IMPRESORA EPSON XP-241,BASILIO MUÑOZ 
8046285,1576-1441-CM19,IMPRESORA EPSON XP-241,RIHUE 
8046287,1576-1492-CM19,IMPRESORA L3110,ESTRELLITA DE MAR
8046288,1576-1492-CM19,IMPRESORA L3110,HOJITAS DE PARRA
8046289,1576-1492-CM19,IMPRESORA L3110,EL PRINCIPITO
8046290,1576-1492-CM19,IMPRESORA L3110,RALCO LEPOY
8046291,1576-1492-CM19,IMPRESORA L3110,PEDACITO DE CIELO
8046292,1576-1492-CM19,IMPRESORA L3110,RAYITO DE SOL
8046296,1576-1492-CM19,IMPRESORA L3110,ARCOIRIS DE AMOR
8046297,1576-1492-CM19,IMPRESORA L3110,DUENDECITOS TRAVIESOS
